用户名,回复内容,回复时间
匿名用户,这条回答说的都是不好的点，不代表武汉没有好的点。1、武汉站看起来很大，但候车大厅A、B居然是分开的，中间巨大的镂空设计严重浪费空间，挤死了。（最近新闻：漏水，这么大个站居然出这事也是丢人）2、从武昌站出来有点进县城的感觉，指示不清，而且灯光昏暗，环境脏乱，还有各种拉客的。3、江滩灯光秀设计太土，大红大紫元素过多，而且不应该给居民楼强上LED，江边绿化建设不够完善。几栋300+全是乌漆麻黑的未完工建筑，大彩灯背后一片凄凉，还不如东湖沿岸和南湖沿岸的万家灯火。4、冬天下雨真的好冷，刺骨的寒风顶不住5、洪山区的高校一座连一座，但是配套却很拉垮，很学学校连地铁都没有，难怪留不住大学生。6、最常见外地美食：韩国烤肉，武汉真的遍地的烤肉店。7、高端购物中心、商业街太少：已知的有武广、汉街，还有个新开的恒隆8、路上的车都很野，尤其是的士和公交，公交进站急刹是基操9、到现在还有烧柴油的公交，只要一停车就轰隆隆的响而且震得很。10、光谷每时每刻都在堵11、到冬天空气质量指数可能会飙到300+（军运会后大大改善），烧喉咙12、过江隧道又窄又堵13、人行道绿灯闪烁逻辑不合理，在其他地方看到的是当绿灯剩余时间不够通过马路时就闪烁，武汉是闪3秒变红（你是指望我能在3秒内从路中间飞到对面吗）。14、都2021年了武汉地铁居然还不支持交通联合卡和微信乘车码（更新：5月30日起支持支付宝微信乘车码了，但交通联合仍缺席）15、地铁口不能直达购物中心（无需走地上）16、武汉的高校宿舍居然还会断电断网限功率17、一点小雨就能像发大水一样，到处是积水，排水系统一言难尽。18、素质低,2021-04-13 19:53:52
郁练级,1、武汉热干面是一种很神奇的食物，你要说它有多好吃吧，其实我感觉挺一般的。但是我离开武汉之后总是会想起热干面的味道，真是奇了怪了，我只吃过一次就有这种情况出现。2、地名很复杂，自己开车经常会被绕晕，比如说中山大道在汉口区，中山路却在武昌区，解放大道在汉口区，解放路却在武昌区。差了一个字，你很有可能要多走几十里路。3、武汉的排骨藕汤可以去尝一尝，都是用猪后腿的筒子骨熬制出来的，味道非常棒。4、湖北省博物馆就在武汉，不用门票，只需要提前预约一下就可以参观了。如果去了博物馆，那么隔壁的美术馆也可以去欣赏一下，同样是免费的。5、武汉最出名的黄鹤楼和户部巷反而不怎么好玩，游客数量太多了，风景也很常见，挺普通的。6、武汉公交车，在九十分钟内可以免费换乘一次。7、当地人嗓门都好大，特别是中老年人，正常聊天就跟吵架一样。8、武汉150米以上的高楼数量排在世界第五，市区内摩天大楼随处可见。但也有很多城中村，反差蛮大的。9、武汉的大学很多，导致了年轻人的比例特别高。华中农业大学里面还有农家乐，春天的时候可以去里面赏花、钓鱼、吃农家饭。10、边走路边吃面是每个武汉人必备的技能。11、锦里沟值得一去，里面除了有苗寨之外，还有满山的樱花、桃花、杜鹃花等，风景非常漂亮。另外还有亚洲第二的山道滑车，特别刺激。12、秋天去武汉旅游可以去汉口江边看芦苇滩，是很多当地人拍婚纱照的地方，风景自然是非常好的，每天日落的时候有很多人在那里散步。13、武汉物价不算高，衣食住行都不算贵，但是这里的工资水平也很低，我认识几个在武汉打工的朋友，本科毕业才三四千块的工资，还不如一些县城。14、武汉东湖很大，当地人一直说东湖风景不输西湖，其实有点夸大了，我这两个地方都去过，东湖风景挺好，但和西湖比还是有些差距的。15、我感觉武汉这座城市一直在发展建设，每次去都能看到很多工地，到处都在施工。16、猫咪叫做猫子，小狗叫做狗子，虾叫做虾子，甚至连烧烤冒出来的烟都有人叫做烟子，第一次听到的时候觉得很好笑，后来听得多了也就习惯了。17、武汉最常见的外地美食就是烤肉，走在街上一眼望去就能看见好几家烤肉店。18、城市的排水系统挺差的，每次下一场小雨，到处都会出现积水。19、武汉有一辆520路公交车，起点是妇幼保健院，途径学校、民政局、养老院，终点是火葬场，总感觉这条路线和人的一生差不多。20、喜欢夜游的朋友可以去欣赏一下长江夜景，去码头花几十块钱坐个轮渡，长江两岸的写字楼都有灯光秀，很适合拍照发朋友圈。21、节假日的武汉特别堵车，坐地铁真的比打车更方便很多。22、如果是情侣一起去武汉旅游，可以去光谷意大利风情街逛一逛，尤其是晚上，那里的灯光很漂亮，教堂前面有一个丘比特许愿池，好多人喜欢在那里表白、求婚、拍婚纱照，恋爱氛围很浓郁。23、每次在武汉坐公交车听到最多的语音播报就是：您已超速，请注意控制车速。我个人感觉武汉公交车司机的怒路症比例很高。24、武汉城市面积真的很大，再加上经常堵车，有时候一对情侣都在武汉，谈的却是异地恋。25、满城的石楠花，漂亮确实是很漂亮，只不过石楠花的味道很奇怪，一定会让你有一个难忘的回忆。26、在武汉“过早”是吃早餐的意思，“包夜”是熬夜通宵的意思。27、武汉的天气变幻莫测，经常会下太阳雨，夏天的时候突然晴转雨，你就能看到路边一排树在冒烟。28、武汉也有一片大草原，名字还很好听，叫做木兰草原，草原上还种着一大片格桑花，我上次去正好是春天，欣赏到了此等美景。,2023-03-12 15:16:16
上流,"盼望着盼望着，东风来了，春天的脚步近了。樱花开了，梧桐絮飘了，石楠花香了。“武汉三劫”正手牵着手走来，摩拳擦掌。要说“武汉三劫”中杀伤力最大、最让人闻风丧胆的绝对要数石楠。如果有朋友这时候喊你去武汉，那这朋友就别联系了。你以为要美滋滋赏樱，但真相是遍满武汉全城的石楠马上要开了，保准让你有一个难忘的人间四月天。 ​part.1   石楠本是正经花，奈何味道太浮夸▲石楠花苞，定时炸弹 ​先来科普一波。石楠是啥？石楠，常绿小乔木或多枝丛生灌木。树枝如伞，树冠似球，花若白雪。▲石楠远看真的挺美 北方朋友常常不懂：你们南方人太矫情，这个树吧，虽然不算美貌，但胜在开起花来，白花绿叶，清清爽爽，多好看！南方人：你快闭嘴吧！跪求石楠大大千万别开花！ 一旦石楠开出满树白花，整座城市就被纳入了石楠花的势力范围，因为独特而又销魂的味道会刷满存在感，让你无处可逃。一到四月，走在武汉的大街上，每一口呼吸都是青春的气息，每一次喘息都是荷尔蒙的味道，耳边总能回荡起赵忠祥老师的声音：春天来了，又来到了动物们交配的季节。为什么？还不是因为石楠花！不知何时起，不知哪一位高人，忽然发现石楠花闻起来酷似精液的味道，对，就是人类男性精液。 也因此，石楠花得了“花界污妖王”的称号。好了好了，姑且不说石楠是不是像某种不可描述的味道，它到底是个啥味儿呢？！▲来源：知乎 ​据上流君线人亲身体验，大概是“味道又腥又冲，就是闻起来黏糊糊的，有些恶心，就像一个晕车得厉害的人闻到汽车尾气那种感觉。”那么问题来了，石楠花到底为什么会有“污污污”的味道？其实这事儿吧，石楠也很委屈。研究者对石楠花的挥发成分做了顶空固相微萃取气相色谱–质谱联用（HS-SPME-GC-MS）分析，分析结果显示，石楠花挥发物质中含有33种主要化合物，这些化合物的总体积含量占到了总挥发油的93.8%。然而，这33种化合物中只有2-(4-甲氧苯基)-乙胺和3-甲基-N-(2-苯乙基)-1-丁胺这两种胺类物质。而人类男性精液的气味主要来自精胺和亚精胺，石楠花挥发物质中并不包含这两种胺类物质。这些化学名词是不是让人直发蒙？嘚吧嘚到底说了啥？总之就是一句话，严格来说，石楠花究竟闻起来像不像那啥，研究尚无定论。而另一份研究推测石楠花的气味可能并非精液味道，而是某种鱼腥味。石楠属于蔷薇科苹果亚科石楠属，同一亚科的山楂属、栒子属和花楸属的花也都有腥气，是由其挥发成分中的三甲胺引起的。因此，石楠花的气味很可能也是由三甲胺引起的。而三甲胺在常温下有鱼腥味。 ​part.2   满城尽是石楠香，武汉人民嘤嘤嘤石楠制霸全武汉。（在此心疼武汉人民一秒钟）作为优秀的绿化树种，石楠承包了武汉大街小巷的绿化，大量分布在公园、马路两旁、分车带……总之，武汉三镇，七大城区，全部被石楠“染指”，无一幸免。早起想开个窗户换换气，一想到窗外的石楠：不了不了开车想把车窗摇下来通通风，一想到满街的石楠：怕了怕了傍晚想去遛弯消消食，一想到公园里的石楠：溜了溜了武汉春天的石楠杀伤力不亚于北京冬天的雾霾，一层口罩怕是挡不住了，如有必要多备着几个口罩，保命要紧。武汉各大高校也难逃此劫。（提醒各位学子，填报志愿请谨慎做好校园背调。）在学校种石楠这件事上，真的没有最惨，只有更惨。网友A：华科的石楠是我一辈子的阴影，从此这个味道成为我伤口上的盐。网友B：谁想来武大看石楠？疯了吧！网友C：麻烦把石楠花踢出校花行列，谢谢。中南财经政法大学的学生秉持着“牺牲小我，成全大家”的精神，亲身实地考察校园石楠林，制作了一份《财大石楠花污染地图》，根据石楠种植密度和气味浓淡标注了颜色，以保证本校学生安全出行，顺利毕业。▲《财大石楠花污染地图》 对制作这幅图的同学真是要说声“瑞思拜”，真正的勇士，敢于直面石楠360°全方位无死角气味轰炸。你以为这就完了？不！一同学立下flag“国足能出线，直播石楠花泡茶喝”。真是不知道啥味儿。▲来源：微博不过武汉学生可能会在看到上海同仁时，稍有宽慰：最近同济大学嘉定校区推出了石楠花肉包，花都是从交大闵行现采的。part.3   说我“花界污妖王”，石楠也很委屈啊说个冷知识，你绝对不知道石楠花的花语。“孤独寂寞、威严、庄重、索然无味。”是的，你没有看错，港真，就算从石楠花开猜到石楠花败，上流君都想不到石楠花的花语会跟索然无味挂上钩。起花语的人怕不是个高级黑吧。其实在古代，石楠可没有那么多的花边新闻，相反，人们对石楠甚是喜爱。还记得《琅琊榜》里苏哥哥父亲行走江湖的化名？正是梅石楠。田汝成《西湖游览志馀》记载，立秋时节，石楠叶变红，甚是艳丽。这时，男男女女会将火红的石楠叶摘下，戴在冠上，亦或是将石楠叶裁刻成花瓣形状，插在鬓边，以应时序。  石楠花也被写进诗里，王建专门写下《看石楠花》：留得行人忘却归，雨中须是石楠枝。说是石楠美丽，引人流连忘返。 ​回到现代，既然开起花来让人闻风丧胆，为什么石楠还被大量种植呢？那是因为，石楠的优点多到你压根想不到：除开一年两个月的花期，大多数时候石楠绝对是优秀的“绿化小能手”。单价低；存活率高，正常情况下95%以上不是问题；易修剪，适应性极强，不挑土壤。 更重要的是，石楠一年四季还能呈现不同的样貌：早春的幼叶呈紫红色，夏季绿色，老叶在秋冬则偏深红，上红下绿。这性价比，仿佛是买了一件物美价廉且有N种穿法的衣服。贫民窟女孩着实心动了。而且石楠花的味道让人闻过一次忘不了，绝对是驱蚊好手吧！ ​没准儿明天清晨去遛弯，你就会发现楼下绿绿的石楠叶上躺着星星点点的几朵小白花。放心，这只是开始，难过的日子还在后头呢。 ​武汉市关爱生命协会提醒您，道路千万条，避花第一条。口罩不准备，花期两行泪。今日一问：你闻过石楠花吗？你觉得像啥味道啊？再次提醒：今日三条有福利哦！ ​[1]张静,沈伟林,顾阿毛,胡振域. 石楠特征特性及繁殖栽培技术[J]. 现代农业科技,2014(15):189+195.[2]吴丽君. 红叶石楠推广应用现状及前景分析[J]. 福建林业科技,2009,36(02):145-148+161.[3]王真真,王卫娜,徐国超,李留振. 红叶石楠研究现状及发展前景[J]. 黑龙江农业科学,2011(06):150-153.[4]石楠叶《中药学7版》[EB/OL].中国医药网.[5]石楠花闻起来有精液的味道，为什么很多学校种石楠花？[EB/OL].知乎问答.[6]石楠花开，为谁曾做相思树[N].北京青年报.2016-05-13[7]武汉满街都是生命之树！来自春天的恶意最污树你见过吗？[EB/OL].东湖社区.[8] 为什么石楠花闻起来像精液的味道？[EB/OL].果壳.",2019-03-25 15:21:00
五味子,1、武昌不止一个武昌区，汉口完全没有汉口区，汉阳就真的是汉阳区。2、武汉的高楼非常多，据说武汉150米以上的高楼数量世界第五。3、武汉乃至湖北一个很独特的词曰：玩水。4、闻名于全国的户部巷、黄鹤楼，本地人并不怎么去。5、在武汉，&#34;过早&#34;是早餐的意思，而&#34;包夜&#34;是通宵的意思。6、武汉真的很大，大到同在武汉却能谈出异地恋的感觉。7、武汉的公交车开的真快，每天都在上演“速度与激情”。8、外地的朋友第一次吃热干面，请找个武汉本地朋友教你怎么拌面or直接帮你拌面，热干面10分，3分在面，4分在酱，剩下3分看拌面的人。9、在武汉的早上，你随处可见来往的行人手拿一碗热干面风风火火边吃边走。10、武汉美食合集：热干面、糯米鸡、四季美汤包、三鲜豆皮、油饼包烧麦、糊汤粉、酥饺、精武鸭脖、鸡冠饺、面窝、小龙虾、藕煨排骨汤。11、想吃地道的武汉美食，与其去人多的户部巷等美食街，不如去武汉的各大高校的堕落街。12、武汉人嗓门大、脾气爆，爱打麻将、爱凑热闹，爱把“劳资”挂嘴上，好吃但又热心快肠。13、武汉人爱吃辣，青椒在武汉不算辣椒只是配菜。14、武汉没有绝对意义上的市中心，都是一片片的，这一片一个中心，那一片一个，四处都有繁华的地方。15、华中农业大学里面竟然还有农家乐！16、“国标滋养的 ”既可能用来骂人也可能用来夸人。17、每年雨季，武汉都要出现内涝。18、武汉不仅有山有水，还有一片大草原-木兰草原。19、武汉高校云集，相爱相杀，要说谁是武汉第一高校，华科武大总有一个不服。20、武汉有“三劫”：樱花开了，梧桐絮飘了，石楠花香了。尤其是石楠花，那独特而又销魂的味道让人难忘。21、武大的樱花开在每年的三月中旬，但疫情之后要预约才能看，一票难求。22、武汉的桥很多，但是最耐看的也最能让人产生情结的还是武汉长江大桥。23、武汉的轨道交通很发达，武汉的地铁都设计得很漂亮。24、武汉公交一个半小时内换乘免费。25、鹦鹉洲大桥桥头很适合散散步，思考人生。26、武汉这些年城市建设好快，真的是“每天都不一样”。27、武汉人的夜生活很丰富，在别的城市夜生活即将结束的时候，武汉人正high的飞起。28、武汉真的遍地的烤肉店，汉派烤肉、东北烤肉、日式烤肉、韩式烤肉等，应有尽有。29、跨了区的话，本地武汉人也很多不认识。30、要说武汉哪个地方的交通最拥堵，毫无疑问一定是光谷。31、餐馆喜欢使用纸碗，堂食用纸碗，打包也用纸碗。32、猫叫做猫子，鸡叫做鸡子，狗叫做狗子，虾叫做虾子，甚至烧烤冒出来的烟，叫做烟子。33、武汉的天气喜怒无常，经常刚刚还是大晴天一会儿就会下雨。34、武汉东湖的名气虽然没有西湖大，但是景色有过之而无不及。35、轮渡很值得坐，江景真的好看，在江边吹着风能坐一天。36、武昌站、汉口站、武汉站不是同一个站。37、湖北省博物馆里的编钟的表演值得打卡，还是免费的。38、光谷步行街欧洲风情浓厚。39、千万不要和武汉的嫂子们吵架，她们的战斗力比太婆们都高。40、武汉的天气只有冬夏，没有春秋。热，热到你服作；冷，冻到你直噻。,2025-08-04 11:01:47
黑中介,江汉骂硚口乡里，江汉和硚口一起骂江岸乡里。汉口和武昌互相骂对方乡里，汉口和武昌都骂汉阳乡里。汉口、武昌和汉阳都骂青山乡里。汉口、武昌、汉阳、青山一起骂三环外是乡里。武汉是一座处于量子乡里状态的城市。,2022-04-03 14:43:01
知乎用户8Gwjpp,上个星期在光谷坐759，坐到一半停车了，司机下去检查了一下，就坐在座位上打电话:你快点搞个师傅过来看一哈，我右边的一过轮子好像要掉了，开了几站了，我有点不敢开了。老子心里想这你tm还敢开几站，,2018-09-27 00:43:25
木-柠梓,知乎首答，请多多关照。     先说一下身份吧，我原产于东南沿海，来武汉上大学，目前已经大三。(＊／ω＼＊)      1.武汉很大，有武昌、汉阳、汉口三个大区域。火车站也有武汉、汉口、武昌三个站。      2.武汉的大学主要分布在武昌。      3.武汉的地铁主要分布在汉口，经过武昌区的地铁只有2号线和4号线。武汉的地铁能去的繁华地方挺多的，还是很方便的（我出门主要都是靠地铁）       4.武汉的公交车有些路确实挺疯狂的。我第一次坐武汉的公交车是从首义到街道口，简直是过山车的感觉。最可怕的是司机猛踩油门后马上猛踩刹车，绝对会让不晕车的人第一次坐后也会晕车。但有些路的司机还好，老哥挺稳的。      5.说到武汉的路，我在街道口、光谷这些地方，看到的都是坑坑洼洼，凹凸不平。还是希望能改善一下，毕竟游客还挺多。其他地方，没太注意，不好评价。关于游玩：      1.武汉的桥，特别多，也特别好看。有长江大桥、长江二桥、鹦鹉洲长江大桥等等。其中鹦鹉洲长江大桥是武昌和汉阳的分界线（桥上有界碑）。和喜欢的人傍晚在桥上散步，是一件特别浪漫的事情。 一座桥大概步行30分钟就过了。       2.光谷的人特别多，节假日特别特别挤。       3.楚河汉街是繁华的商业区，很多店铺里都有上下街道互通的通道。（我都是这样图方便的(#／。＼#)）       4.黄鹤楼其实并不好玩，第一次来倒是可以看看，不过来看一次后就明白了。      5.昙华林算是在武汉这座大气的城市中比较小清新的，有点类似鼓浪屿的风格。      6.户部巷是武汉著名的小吃街，不过去那里的大部分是游客。就像南京的秦淮河，长沙的太平街一样。      7.每年十月底十一月初，江滩公园芦苇荡的芦苇就会开了。景色特别美，美到我每年都会去拍拍照。强推。      8.武大的樱花开在每年的三月中旬，三月底大概都已经快谢了。来看樱花的话，推荐这个时候。但是因为属于全盛时期，游客也特别特别的多。武大樱花时期也是不需要门票的，用身份证预约即可。校门口总有一些黄牛买票，请不要相信。        9.武汉这座城市大部分的大商场都是早上九点十点才营业，晚上十点就会关门。相对于其他城市来说，营业时间比较短。关于吃：       1.热干面、豆皮是武汉的特色小吃。味道确实很有武汉的特色，一开始可能都会吃不太习惯。个人觉得热干面跟豆浆在一起，味道还不错。        2.武汉豪华的饭店大多在武汉天地，好吃同时环境还比较好的大多在江汉路和楚河汉街，好吃而且便宜的在各个高校周边了，尤其是许多小巷子。       3.武汉人吃烤红薯是拿勺子挖的。第一次看到挺惊奇的，不过可以不粘手，我也渐渐喜欢上了这种吃法。(。•  •。)关于武汉的其他:       1.武汉的天气，完美诠释了：“武汉，每天不一样”。( *⊙~⊙) 不，是，每时不一样，每地不一样。 ( ´•౪•`)   同一个学校，都能一个地方瓢泼大雨，另一个地方艳阳高照。      2.武汉的夏天真的特别热，名不虚传的火炉。出门一定要带伞，即使你性别男。      3.这是一座不同于江南小镇的城市，武汉蕴藏着粗犷与大气。武汉本地人民也一样，公认的一言不合就大嗓门，但这可能就是个性吧，有话直说，爽快利落。      4.武汉是有武汉话的，大部分都是普通话变个调，但是还会有许多特殊的叫法。说快了听起来还是有点费力的。关于武大：       1.如果想来武大旅游的话，建议定位到武汉大学牌坊或者文理学部。因为武汉大学的早期建筑几乎全部集中在文理学部。         如果你定位到武汉大学南门、西门、东门等其他地方，你可能会大失所望。毕竟经常有游客在武汉大学信息学部、枫园等地方问我武汉大学往哪走。┌(&#34;◎o◎;;)┘       2.武汉大学的八一地下通道是划分武昌区和洪山区的界限，这个界限让文理学部和信息学部的同学听上去仿佛异地。       3.武汉大学樱花节是不收钱的，而且几乎每年都要花费500万左右去维持秩序和维护樱花。      4.武汉大学不同于厦大等其他大学，它是全开放的。所以在学校内，你能看到许多的校外车辆。暂时这些啦!(*＞◡❛)想到了再补充～,2018-09-27 00:58:36
韵哥Pro,大学在武汉四年，但由于周末两天都要上双学位的课，所以一直都没有好好逛逛武汉，对我来说是个遗憾。19年中秋节回了趟武汉，两天时间骑车穿越了长江大桥，骑车绕行了东湖绿道的一部分，欣赏了湖北省博物馆的镇馆之宝，回财大校园里走了一圈，看到了熟悉的晓南湖、桥楼，在538路公交车牌拍了照，去了江汉路步行街、楚河汉街、光谷……最重要的是见到了阔别近十年的大学好友，非常开心。武汉对我来说始终是很特别的存在，希望武汉越来越好……,2023-01-29 02:38:25
愚叔浅谈,1.来武汉，没结婚的情侣，千万不要去归元寺！2.热干面最多的城市不是武汉，而是郑州！3.武汉的姑娘火辣带劲，说话直爽！4.武汉人喜欢边走边吃，走得飞快，吃得平稳。5.武汉人把吃早饭叫过早，一碗热干面，两个面窝，一个糯米鸡，一碗清酒，是武汉人过早的标配！6.武汉女孩基本上只嫁给本地人。7.武汉人吃烤红薯一定要用勺子！8.武汉人喝的绿豆汤是咸的。9.武汉人结婚，大多数不会跟公婆住在一起。10.武汉人把喜欢喝酒和蛮能喝酒统称为“麻木”！11.豆皮是武汉的特色小吃，严老幺家的豆皮是武汉人过早的首选，味道非常棒！12.渡江节是武汉人独有的节日。13.武汉本地人说话喜欢拖音，而且爱用反问句！14.武汉姑娘不会撒娇！15.武汉人指路一般不说东南西北，而是说这边、那边、左拐、右拐、直走再拐个弯。16.武汉人很爱吃，清蒸武昌鱼、排骨煨汤、菜薹炒腊肉都是武汉菜！17.武汉是最重视早餐的城市！18.在武汉，经常能够在早点摊看到本地人吃早饭会把高凳子当桌子，矮凳当椅子。19.武汉人对武汉话很不自信。20.顾家是武汉人的传统，武汉姑娘会把家里照顾得妥妥当当。21.武汉的地铁座椅有加热功能！22.在武汉，进厂打螺丝是主流，薪资水平也就三五千！23.武汉是一座包容性很强的城市，南来北往的人，在这里都不会感觉太陌生。24.武汉人嗓门大，一开口说话就像在吵架。25.武汉的黄鹤楼，是江南三大名楼之一，其建筑具有独特的民族风格，更适合晚上去，仰观光影秀，俯瞰夜江城。26.武汉人喜欢喝藕汤，只要是过节，都要喝！27.在武汉，不管是乘坐轮渡，还是江滩散步，都可以欣赏到长江大型灯光秀。28.武汉人从小到大吃得最多的鸭脖是精武鸭脖！29.武汉姑娘讲义气，一般你找她办事，只要她能帮的，绝对不会推脱。30.武汉人的性格反差很强烈，外表彪悍，内心柔弱，外表高傲，内心包容，外表喜欢“俗”，内心追求“雅”！31.武汉人很直爽，标准的刀子嘴豆腐心！32.武汉人把混沌叫做水饺，把饺子叫做北方水饺！33.武汉的热干面，芝麻酱有黄黑两种味道！34.想去武汉大学看樱花，一定要提前在官网预约！35.武汉长江隧道是我国第一条穿越长江的隧道。36.想吃夜宵，最好去武汉的吉庆街，这里都是老武汉的味道！37.武汉所有景点基本上都免费，但是需要提前预约！38.热干面是武汉的标志性美食，扎实的碱水面，再加上店家精心调配出的酱汁，非常美味！39.武汉是一座神奇的城市，汉口学院不在汉口，东湖学院不在东湖。40.大连铁板鱿鱼，每天排队的人络绎不绝，新鲜的鱿鱼，撒上胡椒和孜然粉，刷上特制的酱料，香辣鲜滑，十分满足。41.武汉苍蝇馆子里的一品茄龙，一个素菜可以吃出肉的味道，非常值得尝试！42.武汉的烟火气、市井江湖气很浓郁。43.在武汉，过早可以一个月都不重样，而且这里简直是碳水天花板，热干面、汽水包、酥饺、豆皮、烧麦、生烫牛肉粉、欢喜坨、空心粉、油饼、油饼包烧麦、糯米包油条等等！44.武汉站距离市中心很远，来武汉玩最好选择武昌站或者汉口站。45.武汉人从小到大都喜欢吃麻花。46.武汉的卤肉大饼，酱料咸鲜浓郁，肉汁浸满了大饼，鸡蛋炸得很脆，一个卷饼十几块管饱！47.在武汉，想吃地道美食，最好去粮道街和吉庆街，随便一家小店都很好吃！48.武汉光谷的消费水平堪比深圳。49.桂林米粉，摈弃了广西米粉的清淡，加上了酸豆角和脆黄豆，米粉劲道，又香又辣，完全迎合了武汉人的重口味！50.把烧麦放进油饼，是武汉过早的创新吃法，武汉粮道街的赵师傅油饼包烧麦，一口下去，软糯的烧麦，酥脆的油饼，非常美味。51.武汉的城市建设极具现代化！52.位于武汉洪山区的光谷步行街，由多个风情街组成，随便一拍都是大片。53.武汉的天气说变就变，一个月可以感受到四个季节！54.昙华林是武汉文艺小清新最喜欢打卡的地方。55.武汉人管妈妈叫“老娘”，管爸爸叫“老头”，管外公叫“嗲嗲”，管外婆叫“家家”！56.在武汉，外卖经常江上跑，因为外卖小哥也会坐轮渡！57.武汉东湖之眼摩天轮，不仅是粉色的，而且一圈下来刚好13分14秒，非常浪漫！58.武汉的轮渡非常实惠，一趟仅需一块五。59.武汉的黄鹤楼和岳阳楼、滕王阁，并称“江南三大名楼”！60.武汉东湖沙滩景区是最适合情侣约会，闺蜜打卡，亲子游玩的宝藏圣地，在这里也可以邂逅小马尔代夫的粉色落日！,2023-08-04 18:47:02
知乎用户i1bRMT,1.在2014-2015年，不会背24个字的大学生不配在武汉上大学。2.武汉女生占比最多的高校是湖北大学，男女人数比可达7:3（女生7）。3.每年跨年江汉路放烟花的时候，就是百万雄师过大江的重现的时候。4.华中农业大学里面还有农家乐！春天可以去那赏花、钓鱼、吃农家饭。5.武汉共有百万在校大学生，84所大学，各大高校亲（xiang）如（ai）一（xiang）家（sha）。6.武汉全市水面积2117.6平方公里，约占全市土地面积25.8%，是水域面积最大的省会城市。7.东湖面积是西湖面积的6倍，毛泽东建国后先后视察东湖44次，在东湖接待了64个国家的94批外国政要；朱德在50多年前写下“东湖暂让西湖好，今后将比西湖强”，但武汉最大的湖是汤逊湖，它也是亚洲面积最大的内陆湖。8.没有比武汉的大街小巷上，成人性用品旁边就是兽医花圈店更赛格朋克的事了，如果有，那可能是它的民间市花，“石楠花”。9.在武汉，骂人和夸人可能都是这句话：大姐可能会抽着烟，叉着腰对自己儿子“国标滋养的！ ”，也可能会拿着考卷，咧嘴笑着夸她亲闺女“国标滋养的这次考得好好啊！”10.武汉公交司机基本技能“甩盘子”，常用语录：“又莫得下车滴？”（请举起双手回答，Yo! Yo! Yo! ）“前头辣个不怕死，老子怕莫斯？11.传说，3辆521路同时在洪山广场绕圈，便可以打开时空之门，有穿越需要的同学，请自行前往。12.武汉曾经的黑洞——光谷转盘，所有进去的车辆都出不来，当然，现在已经不是啦~13.下大雨时的城市内涝，让武汉市民有独特的交通工具。14.十大神兽，常被市民挂在嘴边，用以佑身，分别是：“个斑马”“蛮耷牛”“旗子蝈”“尼妖墨羊”“泥丸鸟”“棉条蝶”“多斑蛭”“玛格碧蛾”“小楠鸷”“墨壮鲸”15.全国人民都知道武汉夏天有多热，但全国人民不知道，武汉夏天有多热，冬天就能有多冷（微笑脸）。16.在武汉，你永远不知道春天秋天穿啥，因为在上一个春秋，你还没决定好买什么衣服，它们就已经过去了。17.去武汉玩，如果当地朋友首先跟你推荐的是黄鹤楼和户部巷，之后就少联系吧。18.在武汉，每天第一句问好可能是， “过早莫咯?”“俩奇鸟冒，奇滴莫斯”“俩克哪里奇啊”19.武汉人对吃的喜爱融进了他/她对你的夸奖里，“讲胃口”是武汉人对你的最高评价之一。20.边走路边吃面，只是基础技能，要成为一个合格的武汉人，左手端面、右手拿筷、小拇指勾面窝、咯吱窝夹书，边走边吃再加上单手剥鸡蛋才是入门技——21.的士司机可以边开车边吃热干面还边和你聊天.22.最好吃的热干面不是连锁的蔡林记，是自家楼下从幼儿园吃到大的小馆子。23.除了热干面，武汉人的过早，还有三鲜豆皮、鲜鱼糊汤粉、湖米酒、面窝、重油烧麦、糯米包油条……24.武汉男士夏季专用语，“打糍粑”。25.武汉人说你像个苕，也不是在夸你像红薯宝宝一样可爱，再次欢迎在评论区提问。26.“夹生”，在武汉话中，不仅是饭没熟，还指人不懂变通，不会做事，很难相处，蠢蠢傻傻，可以和“苕”连用——“夹生苕”。27.“老俩”—— 母亲，“老亲娘”—— 丈母娘28.武汉人的骄傲——跟头可以摔，手里的热干面洒出来？不行29.武汉有山有水还有草原！ 木兰草原有上千亩的格桑花，春天盛开的时候，真的很美很美。30.武汉有一个可以与凤凰媲美的土苗文化风景区——锦里沟，锦里沟除了有苗寨，还有满山的樱花、桃花、杜鹃花，也有亚洲第二的山道滑车，想要体验刺激的同学不能错过~ （啊不，放错了图，锦里沟是下面这张才对）31.靓靓蒸虾是很多人留在武汉的理由，吃完你会有种天下无虾的感觉。32.武汉人是不会拉着女朋友顶着大太阳走完长江大桥的，而是会跟着夕阳余晖，在江汉路坐轮渡过江。33.秋冬可以来汉口江滩看芦苇，很多武汉人也会在那里拍婚纱照，平时日落时分来江滩散步也很惬意。34.不用门票的湖北省博物馆也很推荐，不能错过曾侯乙编钟表演呀。35.后官湖湿地公园还是值得一去的，面积很大很漂亮，还可能会碰到猴子。欢迎关注知乎机构号：美团民宿,2019-10-29 14:11:19
