时间,内容,转发数,评论数,点赞数
Fri Jan 24 13:19:55 +0800 2025,"拳拳报国意，浓浓学子情<br />日前，江汉大学学子先后在“爱我国防 强国有我”2024年湖北省大中小学生国防教育短视频征集活动、全省高校学生国家安全素养展示活动中斩获佳绩。<br />一起来看看吧～<br />👇🏻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2F_HoEMuTwS4TdLw_olmy6UQ"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">爱我国防 强国有我</span></a> ",0,1,0
Thu Jan 16 22:54:56 +0800 2025,"寒假到来<br />热闹的校园渐渐安静<br />有不少老师同学<br />因为科研学习等需要留校<br /><br />食堂营业、住宿安排<br />维修服务、图书借阅<br />一起了解<br />江大人寒假留校指南<br />（＾ω＾）<br />👇🏻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FHzLUeobpl0E5aQ5_Fv-Byw"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">网页链接</span></a> ",0,0,3
Sat Dec 28 12:07:31 +0800 2024,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E8%A1%8C%E8%B5%B0%E7%9A%84%E5%A4%A7%E6%80%9D%E6%94%BF%E8%AF%BE%E5%85%A8%E5%9B%BD%E5%A4%A7%E5%AD%A6%E7%94%9F%E7%A4%BE%E4%BC%9A%E5%AE%9E%E8%B7%B5%23&extparam=%23%E8%A1%8C%E8%B5%B0%E7%9A%84%E5%A4%A7%E6%80%9D%E6%94%BF%E8%AF%BE%E5%85%A8%E5%9B%BD%E5%A4%A7%E5%AD%A6%E7%94%9F%E7%A4%BE%E4%BC%9A%E5%AE%9E%E8%B7%B5%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#行走的大思政课全国大学生社会实践#</span></a> <br />12月27日，长江网•长江头条 “行走的大思政课”2024全国大学生社会实践成果交流会在华中科技大学举行，各个高校的社会实践代表队分享了他们“把论文写在祖国大地”上的精彩故事。<br />江汉大学人文学院实践队为江夏区乌龙泉街道茶业创新性设计并推广了“茶太白”IP形 ...<a href=""/status/5116528219656556"">全文</a>",0,0,0
Mon Dec 23 16:10:53 +0800 2024,"2024年的第一场雪<br />在冬至后如约而至<br />JHUer们<br />今晨一出门<br />就和雪花❄️<br />撞了个满怀<br /><br />雪满大地，归期将近<br />关于大家回家返程<br />小薇有话提醒！<br />👇🏻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FBSIcnQ-8xbRmPavzrkVjvQ"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">江大，下雪啦！</span></a> ",1,3,8
Mon Dec 16 16:26:34 +0800 2024,"成长的标志<br />从学会主动穿秋裤开始<br />JHUer们<br />天冷<br />江大喊你穿毛衣啦<br />不怕单调，不怕臃肿<br />整个校园<br />陪你一起入冬<br />🧣🤗🧶<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FLAwHBauqovkkt11gwb3vRg"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">冷҈ 冷҈ 冷҈҈🥶！江大喊你穿毛衣🧶！</span></a> ",3,2,19
Sun Dec 01 13:10:30 +0800 2024,"2024年湖北省青少年校园足球联赛（男子高水平组）<br />圆满落幕🎉<br />在全省85所高校代表队的激战中<br />江汉大学脱颖而出<br />最终取得全省第三的好成绩<br />赛场争较技<br />健儿逞英豪<br />就让我们重回一路走来的精彩瞬间<br />一睹江大学子的风采吧！<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FarsOt4-o0MsyLxfZ7AK5UQ"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">网页链接</span></a> ",0,2,5
Fri Nov 22 14:16:44 +0800 2024,"竖起耳朵，集中注意<br />江大的秋天，是有声音的<br />一起来<br />听！<br />👇🏻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2F-DxD0zRNuTN-GpVur6LEHA"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">听！</span></a> ",0,2,3
Thu Nov 21 15:08:14 +0800 2024,"倒计时30天<br />保持耐心，蓄满能量<br />江大送你<br />考研上上签<br />👇🏻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2F4hkEvPCkzDOI1Ttl8cPdtg"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">30天！</span></a> ",0,1,1
Wed Nov 20 23:24:01 +0800 2024,"江大课程思政再结硕果<br />一起看看吧！<br />👇🏻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2Fr-801ouCsdRPmG0LOBRaHw"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">网页链接</span></a> ",0,1,0
Wed Nov 20 23:17:55 +0800 2024,"红色经典，常看常新<br />武汉芳华白毛女舞剧团<br />为江汉大学师生送上经典芭蕾舞剧<br />《红色娘子军》<br />一起看看吧～<br />👇🏻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FwVfCHv6cP0PfypzMGkFyJQ"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">超经典！江大上演！</span></a> ",0,0,1
Tue Nov 19 14:50:18 +0800 2024,"在江大校园里<br />有这么一个神奇的学院<br />这里山花烂漫、绿树成荫<br />这里飞鸟鱼虫、相映成趣<br />更有珍馐百味、香气四溢<br />一起去看看<br />别人家的“课堂”吧！<br />👇🏻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FbW6i6SYdy0Np0BfYSovTOg"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">看！“别人家”的课堂</span></a> ",0,1,6
Fri Nov 15 14:54:57 +0800 2024,"速看<br />江汉大学吴钰祥教授团队揭秘<br />运动猝死的“铁密码”<br />👇🏻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FT3rOIjxy1N-S19tZKmM3rg"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">他，发现了运动猝死的“铁密码”</span></a> ",1,1,4
Thu Nov 14 22:18:55 +0800 2024,"“鄂”治网络谣言<br />e同守护真相<br />第二届湖北省互联网辟谣优秀作品征集展示活动<br />正式开启<br />一起参加吧！<br />👇🏻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FnECyY8UgnWEjscG1XS3GHg"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">一起参加吧！第二届湖北省互联网辟谣优秀作品征集展示活动正式开启</span></a> ",0,0,0
Wed Nov 13 13:50:52 +0800 2024,"读经典名著<br />品百味人生<br />2024“清源之秋”读书节之经典诵读大赛<br />11月21日<br />图书馆负一楼学术报告厅<br />我们一起<br />读书<br />📖<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2F-dkimPoxgZvAmSOo2f9P_A"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">Pick me🤩! Pick me🥰!</span></a> ",0,0,0
Tue Nov 12 14:57:00 +0800 2024,"7金3银2铜🥇<br />江汉大学龙舟队队员<br />助力中国龙舟队在<br />国际划联龙舟世界杯暨2025年成都世界运动会龙舟项目资格赛中暂获佳绩！<br />一起查看<br />“龙”的传说<br />👇🏻<br /><br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FJAvG95-p8EtO_75bcw6UxA"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">斩金夺银，这里藏“龙”卧虎</span></a> ",0,1,4
Mon Nov 11 13:33:59 +0800 2024,"学业尾款 📖<br />运动尾款 👟<br />必做尾款 🎧<br />思念尾款 ❤️<br />JHUer双十一尾款清单来啦<br />一起点击查看！<br />👇🏻<br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%2F7i9jD9pRfyHpRc9a2WMblA"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">11·11，你的尾款待支付！</span></a> ",0,0,1
Wed Oct 30 15:14:11 +0800 2024,江大的深秋<br />是自然调和的颜色<br />深秋的信使，分布校园各处<br />姿态万千，颜色丰富<br />一叶<br />可知江大秋<br /><br />JHUer们<br />走一次秋天大道，接一次秋叶满怀<br />听一次秋风簌簌，看一树秋霜白露<br />再道一声<br />真是“天凉好个秋”！ ,0,2,2
Tue Oct 01 08:52:45 +0800 2024,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9B%BD%E5%BA%86%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#国庆#</span></a> ;<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%88%91%E4%B8%8E%E7%A5%96%E5%9B%BD%E5%85%B1%E6%88%90%E9%95%BF%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#我与祖国共成长#</span></a> <br />金秋十月的江大<br />一片飘红的海洋<br />无数的我们<br />在这片红下求学、生活、成长<br />无数的梦想<br />在这片红下生根、发芽、茁壮<br /><br />青春奋斗向上，一颗红心向阳<br />强国征途漫漫，奋进驰骋波澜<br />新时代的江大人<br />奋楫笃行，履践致远<br />四季耕耘厚土<br />书写崭新篇章<br /><br />𝟏𝟗𝟒𝟗 -✈- 𝟐𝟎? ...<a href=""/status/5084589072844403"">全文</a>",1,1,9
Thu Aug 08 20:21:32 +0800 2024,"【辉煌成就！<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%AD%A3%E5%8D%9A%E6%96%87%E5%88%98%E6%B5%A9500%E7%B1%B3%E5%8F%8C%E4%BA%BA%E5%88%92%E8%89%87%E9%87%91%E7%89%8C%23&extparam=%23%E5%AD%A3%E5%8D%9A%E6%96%87%E5%88%98%E6%B5%A9500%E7%B1%B3%E5%8F%8C%E4%BA%BA%E5%88%92%E8%89%87%E9%87%91%E7%89%8C%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#季博文刘浩500米双人划艇金牌#</span></a><span class=""url-icon""><img alt=""[金牌]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/29/2022_goldmedal_mobile.png"" style=""width:1em; height:1em;"" /></span>】<br />我校学子<a href='/n/季博文皮划艇'>@季博文皮划艇</a> 季博文，在巴黎奥运会上与他的搭档<a href='/n/刘浩要上天'>@刘浩要上天</a> 刘浩，以1分39秒48的佳绩，荣获男子500米双人划艇金牌。他们的无间配合和不屈不挠的斗志，不仅展现了超群的竞技水平，更在国际舞台上彰显了中国运动员的非凡风采。让我们向他们 ...<a href=""/status/5065193467678505"">全文</a>",15,28,201
Mon Apr 15 10:14:12 +0800 2024,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%84%82%E7%BD%91%E6%B8%85%E9%A3%8E%E8%B5%B7+%E4%B8%BE%E6%8A%A5e%E8%B7%AF%E8%A1%8C%23&extparam=%23%E9%84%82%E7%BD%91%E6%B8%85%E9%A3%8E%E8%B5%B7+%E4%B8%BE%E6%8A%A5e%E8%B7%AF%E8%A1%8C%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#鄂网清风起 举报e路行#</span></a>亮剑网络谣言，江汉大学倡议：让我们一起做遵纪守法的“止谣者”，做明辨真假的“识谣者&quot;，做敢于亮剑的“阻谣者”，做守责尽责的“治谣者”。  ",0,10,6
Mon Apr 08 15:39:12 +0800 2024,"【<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%AB%98%E6%A0%A1%E6%A0%A1%E8%8A%B1%E7%BE%8E%E5%87%BA%E6%96%B0%E9%AB%98%E5%BA%A6%23&extparam=%23%E9%AB%98%E6%A0%A1%E6%A0%A1%E8%8A%B1%E7%BE%8E%E5%87%BA%E6%96%B0%E9%AB%98%E5%BA%A6%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#高校校花美出新高度#</span></a> 】<br />长江之滨   三角湖畔<br />江城新黉   春光乍现<br />鸟语花香   含笑独傲<br />一枝争艳不是春<br />花香满园育桃李<br />青春如花   芳华绝代<br />我辈岂是蓬蒿人 <br />仰天大笑出门去<br /><a href='/n/湖北文旅'>@湖北文旅</a><a href='/n/湖北日报'>@湖北日报</a><a href='/n/微博校园'>@微博校园</a> ",0,16,13
Tue Nov 21 11:21:51 +0800 2023,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6125%E5%91%A8%E5%B9%B4%E6%A0%A1%E5%BA%86%23&extparam=%23%E6%AD%A6%E6%B1%89%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6125%E5%91%A8%E5%B9%B4%E6%A0%A1%E5%BA%86%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#武汉科技大学125周年校庆#</span></a><br />一点浩然气， 千里快哉风。<br />天地存肝胆， 江山阅鬓华。<br />锤钢铁之魂，铸坚挺之心。<br />若问青年路，今朝我辈行。<br /><a href='/n/江汉大学'>@江汉大学</a> 祝<a href='/n/武汉科技大学125周年生日快乐'>@武汉科技大学125周年生日快乐</a>！愿两校友谊长存，携手并进！ ",0,6,46
Fri Nov 17 16:30:41 +0800 2023,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B1%9F%E5%A4%A7%E5%BF%AB%E9%80%92%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#江大快递#</span></a> 我见星光，于舞台之上<br />                    我寻青春，于声浪之间<br />青春有Fun 声动WuHan首届湖北·武汉大学生音乐节自今年9月启动以来历经海选、复赛、赋能培训等环节来自31所高校87组选手脱颖而出入围晋级赛。<br />               今日18:00 南区足球场，不见不散！ ",0,6,8
Wed Nov 08 10:16:55 +0800 2023,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%B8%85%E6%BA%90%E5%BF%83%E8%AF%AD%23&isnewpage=1&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#清源心语#</span></a> 你对父母表达过爱吗？ <br />你想知道对父母说“我爱你”后TA的反应吗？<br />如果现在有机会，你想对父母说些什么？<br />点击链接，观看感人短片。<br /><br /><a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%3F__biz%3DMzA3MjAwODc0MA%3D%3D%26mid%3D2650027445%26idx%3D1%26sn%3D95a13148f84619ad5b47151eb339d06b"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">你有多久没有说过“我爱你”？</span></a> ",0,3,1
Wed Oct 18 08:40:51 +0800 2023,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%AD%A6%E6%B1%89%E4%BD%93%E8%82%B2%E5%AD%A6%E9%99%A270%E5%91%A8%E5%B9%B4%E6%A0%A1%E5%BA%86%23&extparam=%23%E6%AD%A6%E6%B1%89%E4%BD%93%E8%82%B2%E5%AD%A6%E9%99%A270%E5%91%A8%E5%B9%B4%E6%A0%A1%E5%BA%86%23&luicode=10000011&lfid=1005053879109948&launchid=10000360-page_H5"" data-hide=""""><span class=""surl-text"">#武汉体育学院70周年校庆#</span></a><br />砥砺奋进七十载，兴体报国新时代<br />风华正茂绝陈迹，励精图治续荣光<br />这一代武体人正逐梦新时代，昂首向未来<br />开启中国前列、世界一流应用研究型体育大学建设新征程<br /><a href='/n/江汉大学'>@江汉大学</a> 遥祝  <a href='/n/武汉体育学院'>@武汉体育学院</a> 70岁生日快乐！<br />愿两校携手并进，共建一流，友谊长存！ ",1,3,4
